City,Temperature,Cloudiness,Country,Date,Humidity,Lattitude,Longitude,Max Temp,Wind Speed,City Number
Young,55.0,0,UY,1567542251,31,-32.7,-57.63,55.0,4.0,3439525
Rocha,43.47,67,UY,1567542251,66,-34.48,-54.34,43.47,9.15,3440777
Barra do Corda,89.37,1,BR,1567542251,38,-5.5,-45.25,89.37,2.66,3406318
Katsuura,76.17,75,JP,1567542252,94,33.93,134.5,77.0,4.7,1865309
Jolalpan,87.01,56,MX,1567542252,46,18.32,-98.85,87.01,1.01,3819050
Taoudenni,100.18,31,ML,1567542252,22,22.68,-3.98,100.18,21.81,2450173
Bamiantong,56.97,0,CN,1567542253,93,44.93,130.53,56.97,2.98,2038482
Bredasdorp,58.32,25,ZA,1567542253,67,-34.53,20.04,59.0,4.7,1015776
Samarai,69.93,94,PG,1567542253,82,-10.62,150.67,69.93,7.16,2132606
Richards Bay,71.19,0,ZA,1567542254,76,-28.77,32.06,71.19,12.66,962367
Nhulunbuy,66.2,53,AU,1567542254,93,-12.18,136.78,66.2,4.7,2064735
Saskylakh,43.11,100,RU,1567542255,78,71.97,114.09,43.11,10.11,2017155
Saint-Junien,65.61,0,FR,1567542255,37,45.89,0.9,68.0,8.05,6454825
Broome,65.26,40,GB,1567542255,64,52.47,1.45,68.0,9.17,2656067
Te Anau,40.77,100,NZ,1567542255,88,-45.41,167.72,40.77,0.6,2181625
Kaniama,72.63,14,CD,1567542256,64,-7.57,24.18,72.63,2.53,214389
Yelnya,60.57,0,RU,1567542256,94,54.58,33.19,60.57,6.02,467753
Tasiilaq,44.6,26,GL,1567542256,56,65.61,-37.64,44.6,4.7,3424607
Nouadhibou,75.2,0,MR,1567542257,78,20.93,-17.03,75.2,18.34,2377457
Olinda,48.22,40,AU,1567542257,100,-37.84,145.39,53.01,11.41,2154386
Hithadhoo,82.71,0,MV,1567542257,77,-0.6,73.08,82.71,11.61,1282256
Seymchan,49.95,94,RU,1567542258,54,62.93,152.39,49.95,3.4,2121373
Kalanchak,70.47,6,UA,1567542258,46,46.26,33.28,70.47,6.06,707232
Togur,49.41,100,RU,1567542068,97,58.36,82.83,49.41,3.31,1489499
Mount Vernon,85.66,20,US,1567542259,42,38.73,-77.1,89.01,3.36,7258318
Khani,66.2,0,GE,1567542259,100,41.96,42.96,66.2,3.36,610864
Norman Wells,53.6,90,CA,1567542259,81,65.28,-126.83,53.6,5.82,6089245
Port Macquarie,42.33,0,AU,1567542180,100,-31.43,152.91,46.0,2.24,2152659
Pisco,68.16,40,PE,1567542260,30,-13.71,-76.2,71.6,8.05,3932145
Lakatoro,74.25,59,VU,1567542260,76,-16.11,167.42,74.25,18.41,2136697
Praia da Vitoria,71.6,75,PT,1567542260,60,38.73,-27.07,71.6,18.32,3372760
Iquique,64.4,0,CL,1567542224,63,-20.22,-70.14,64.4,14.99,3887127
Barrow,43.47,32,AR,1567542261,64,-38.31,-60.23,43.47,17.72,3833859
Busselton,47.62,31,AU,1567542261,56,-33.64,115.35,51.01,29.95,2075265
Khovu-Aksy,49.95,100,RU,1567542262,82,51.13,93.72,49.95,4.27,1503527
Avera,91.11,40,US,1567542262,49,33.19,-82.53,93.2,8.05,4231997
Marawi,73.0,100,PH,1567542263,88,8.0,124.29,73.0,5.99,1701054
Lonar,72.09,100,IN,1567542263,90,19.99,76.52,72.09,10.49,1264794
Bukama,72.63,82,CD,1567542263,33,-9.2,25.85,72.63,0.98,217834
Tampere,53.06,0,FI,1567542131,71,61.5,23.76,55.4,4.7,634964
Acapulco,87.8,75,MX,1567542264,70,16.86,-99.88,87.8,5.82,3533462
Chadiza,66.51,0,ZM,1567542264,57,-14.06,32.43,66.51,9.82,921028
Arlit,100.35,8,NE,1567542264,19,18.74,7.39,100.35,8.19,2447513
Clyde River,42.8,75,CA,1567542265,93,70.47,-68.59,42.8,13.87,5924351
Coihaique,48.87,40,CL,1567542265,36,-45.58,-72.07,53.6,6.93,3894426
Victoria,81.23,75,BN,1567542266,83,5.28,115.24,82.4,2.24,1733782
Miyako,75.58,100,JP,1567542266,94,33.63,130.94,78.8,6.93,1848087
Sistranda,50.72,75,NO,1567542266,87,63.73,8.83,53.01,16.11,3139597
Vila Velha,80.47,20,BR,1567542267,65,-3.71,-38.6,82.4,16.11,6320062
Naze,77.0,75,NG,1567542267,94,5.43,7.07,77.0,4.7,2337542
Codrington,48.38,0,AU,1567542267,93,-28.95,153.24,57.0,8.05,2160063
Port Alfred,61.0,0,ZA,1567542268,85,-33.59,26.89,61.0,3.0,964432
Lompoc,81.7,1,US,1567542268,64,34.64,-120.46,97.0,13.87,5367788
Ushibuka,78.57,100,JP,1567542268,80,32.19,130.02,78.57,5.28,1849154
Ancud,50.0,0,CL,1567542268,61,-41.87,-73.83,50.0,8.05,3899695
Bathsheba,87.8,40,BB,1567542070,66,13.22,-59.52,87.8,19.46,3374083
Deep River,62.89,20,CA,1567542269,77,46.1,-77.49,63.0,7.78,5937073
Banda Aceh,81.81,100,ID,1567542054,82,5.56,95.32,81.81,19.48,1215502
Vestmanna,48.2,100,FO,1567542270,70,62.16,-7.17,48.2,10.29,2610343
Provideniya,50.0,90,RU,1567542270,93,64.42,-173.23,50.0,11.18,4031574
Beaufort,79.45,75,MY,1567542270,83,5.36,115.76,80.6,2.24,1733874
Marzuq,83.79,33,YE,1567542271,31,14.4,46.47,83.79,6.17,72181
Ambon,60.98,0,FR,1567542271,77,47.55,-2.56,63.0,4.7,3037899
Aklavik,51.8,75,CA,1567542271,76,68.22,-135.01,51.8,11.41,5882953
Panama City,93.2,75,US,1567542090,49,30.16,-85.65,95.0,8.05,4167694
Gari,45.81,100,RU,1567542272,98,59.43,62.35,45.81,4.52,1506676
Bonnyville,71.6,20,CA,1567542272,46,54.27,-110.74,71.6,10.29,5905616
Falam,64.89,100,MM,1567542272,99,22.91,93.68,64.89,2.46,1326105
Vaitape,77.68,52,PF,1567542273,84,-16.52,-151.75,77.68,18.39,4033077
Ponta do Sol,79.47,86,BR,1567542273,35,-20.63,-46.0,79.47,1.5,3453439
Tocopilla,56.61,97,CL,1567542247,81,-22.09,-70.2,56.61,8.99,3869716
Tongchuan,71.6,0,CN,1567542273,73,34.9,108.95,71.6,8.95,7064006
Parrita,75.79,75,CR,1567542274,73,9.52,-84.33,78.8,11.41,3622537
Murray Bridge,51.87,100,AU,1567542274,54,-35.12,139.28,55.99,9.04,2065176
El Dorado,84.76,20,TT,1567542274,70,10.65,-61.37,86.0,8.05,3574604
Kedrovyy,42.8,40,RU,1567542275,100,56.17,91.82,42.8,8.59,1538641
Constitucion,71.74,40,MX,1567542275,53,23.99,-104.67,72.0,16.15,4011743
Along,59.85,100,IN,1567542275,97,28.17,94.8,59.85,2.59,1278969
Inhambane,61.11,0,MZ,1567542276,91,-23.87,35.38,61.11,6.62,1045114
San Fernando,84.79,20,TT,1567542276,70,10.28,-61.46,86.0,8.05,3573739
Ler,49.55,75,NO,1567542276,76,63.2,10.3,51.8,9.17,3146125
Buin,72.7,0,CL,1567542277,10,-33.73,-70.74,75.2,6.93,3897774
Shymkent,60.8,0,KZ,1567542277,41,42.31,69.59,60.8,6.71,1518980
Mayo,60.8,40,CA,1567542214,59,63.59,-135.9,60.8,2.24,6068416
Shirokiy,48.99,38,RU,1567542278,69,53.87,39.17,48.99,8.19,512255
Taganak,78.21,75,PH,1567542278,94,6.08,118.3,78.8,6.02,1684606
Kawalu,64.35,100,ID,1567542279,94,-7.38,108.21,64.35,3.4,1640902
Adrar,86.0,40,DZ,1567542279,37,27.87,-0.29,86.0,36.91,2508813
Leh,48.33,0,IN,1567542279,34,34.16,77.58,48.33,4.61,1264976
Byron Bay,48.13,0,AU,1567542280,93,-28.65,153.62,57.0,3.36,2172880
Veracruz,80.6,75,EC,1567542280,54,-1.5,-77.92,80.6,5.82,3652584
Frontignan,73.67,0,FR,1567542280,68,43.45,3.75,75.99,4.7,3016956
Carnarvon,54.63,0,ZA,1567542280,11,-30.97,22.13,54.63,4.25,1014034
Lyubech,59.31,76,UA,1567542281,93,51.7,30.66,59.31,11.68,702477
Portland,72.18,40,US,1567542012,64,43.66,-70.25,77.0,8.05,4975802
Show Low,89.4,20,US,1567542137,19,34.25,-110.03,96.01,10.29,5314245
Makakilo City,84.76,20,US,1567542281,55,21.35,-158.09,87.8,6.93,5850554
Vysokogornyy,46.17,0,RU,1567542282,95,50.1,139.13,46.17,2.15,2013216
Goderich,77.13,83,CA,1567542282,84,43.74,-81.71,78.01,3.0,5962442
Cherskiy,45.99,0,RU,1567542282,48,68.75,161.3,45.99,3.71,2126199
Soubre,71.91,81,CI,1567542283,98,5.79,-6.61,71.91,2.8,2598243
Moerai,69.21,100,PF,1567542283,61,-22.43,-151.33,69.21,15.9,4034188
Raudeberg,49.96,75,NO,1567542283,71,61.99,5.14,51.8,5.82,3146487
Bubaque,82.53,100,GW,1567542283,84,11.28,-15.83,82.53,10.78,2374583
Kautokeino,45.09,35,NO,1567542284,66,69.01,23.04,45.09,21.63,779330
Lebu,59.0,75,ET,1567542284,72,8.96,38.73,59.0,6.93,344979
Middleton,61.74,90,GB,1567542284,93,53.55,-2.2,64.4,6.93,2642593
Kalanguy,59.85,100,RU,1567542285,91,51.01,116.52,59.85,4.09,2023298
Belmonte,80.15,0,PT,1567542285,50,40.36,-7.35,86.0,3.04,8010472
Port Blair,81.63,100,IN,1567542286,81,11.67,92.75,81.63,24.47,1259385
Bitung,69.8,20,ID,1567542286,88,1.44,125.19,69.8,2.24,1648636
Zhigansk,35.01,11,RU,1567542286,82,66.77,123.37,35.01,6.51,2012530
Roros,37.4,88,NO,1567542286,93,62.57,11.38,37.4,3.87,3141332
Kaa-Khem,48.33,70,RU,1567542287,78,51.7,94.56,48.33,4.0,1500973
Suntar,45.45,67,RU,1567542287,95,62.16,117.65,45.45,4.16,2015913
Meulaboh,79.65,100,ID,1567542287,84,4.14,96.13,79.65,6.87,1214488
Iqaluit,42.37,90,CA,1567542288,93,63.75,-68.52,42.8,23.04,5983720
Sohbatpur,94.95,51,PK,1567542288,46,28.52,68.54,94.95,3.18,1164660
Ferkessedougou,73.35,78,CI,1567542288,95,9.6,-5.2,73.35,5.68,2289049
Dawson Creek,71.35,1,CA,1567542289,43,55.76,-120.23,73.4,5.82,5935804
Kozhva,45.63,47,RU,1567542289,79,65.11,57.05,45.63,3.56,543246
Grimshaw,70.52,75,CA,1567542289,59,56.19,-117.61,73.0,5.82,5967157
Derzhavinsk,51.75,56,KZ,1567542289,63,51.1,66.31,51.75,6.82,1524606
Narang,86.0,0,PK,1567542290,84,32.43,73.82,86.0,4.45,1172663
Hay River,60.8,75,CA,1567542290,72,60.82,-115.79,60.8,6.93,5972762
Neklyudovo,50.49,0,RU,1567542290,82,54.88,41.31,50.49,4.68,551891
Vestmannaeyjar,51.57,0,IS,1567542291,70,63.44,-20.27,51.57,18.59,3412093
Otane,52.0,100,NZ,1567542291,94,-39.89,176.62,52.0,5.99,2185329
Talnakh,44.6,90,RU,1567542291,100,69.49,88.39,44.6,4.47,1490256
Namtsy,53.6,20,RU,1567542291,87,62.72,129.66,53.6,4.47,2019488
Saint-Philippe,67.37,1,CA,1567542292,48,45.36,-73.48,69.8,4.7,6138908
Liepaja,59.25,65,LV,1567542292,93,56.52,21.02,60.8,6.93,457954
Puerto Carreno,91.4,40,CO,1567542292,55,6.19,-67.49,91.4,6.55,3671519
Greenville,88.92,40,US,1567542061,43,34.85,-82.4,95.0,3.36,4580543
Cruzeiro do Sul,91.4,40,BR,1567542293,59,-7.63,-72.67,91.4,3.36,3662616
Lerwick,52.7,92,GB,1567542293,93,60.15,-1.15,53.6,14.99,2644605
Mount Gambier,44.6,90,AU,1567542294,100,-37.83,140.78,44.6,8.05,2156643
Deming,89.17,1,US,1567542294,22,32.27,-107.76,90.0,6.93,5464806
Beringovskiy,41.67,100,RU,1567542294,94,63.05,179.32,41.67,5.86,2126710
Cockburn Town,84.15,0,TC,1567542295,74,21.46,-71.14,84.15,13.27,3576994
Kuala Terengganu,75.06,75,MY,1567542295,94,5.33,103.14,75.2,3.36,1734705
Meridian,90.09,1,US,1567542295,16,43.61,-116.39,93.0,5.59,5600685
Sokoto,85.59,0,NG,1567542296,53,13.06,5.24,85.59,9.04,2322911
Yarmouth,67.12,75,CA,1567542296,82,43.84,-66.12,70.0,11.41,6185217
Sola,73.35,20,TZ,1567542296,34,-3.17,33.8,73.35,6.69,151211
Egvekinot,36.45,100,RU,1567542219,88,66.32,-179.17,36.45,16.67,4031742
Severnoye,46.17,7,RU,1567542297,94,54.09,52.54,46.17,6.78,496381
Penarroya-Pueblonuevo,85.96,0,ES,1567542297,27,38.3,-5.27,89.6,8.05,2512730
Pringsewu,69.03,98,ID,1567542298,96,-5.36,104.98,69.03,0.34,1630639
Tabou,74.61,19,CI,1567542298,93,4.42,-7.36,74.61,4.25,2281120
Isangel,66.2,40,VU,1567542298,88,-19.55,169.27,66.2,15.46,2136825
Viransehir,74.79,0,TR,1567542298,22,37.24,39.76,74.79,4.83,298033
San Cristobal,90.27,2,HN,1567542299,28,14.68,-86.92,90.27,11.61,3609418
Dingle,73.18,100,PH,1567542299,83,11.0,122.67,73.18,3.06,1714733
Haukipudas,45.99,0,FI,1567542299,87,65.17,25.5,48.2,5.82,658630
Fare,76.95,20,PF,1567542300,84,-16.7,-151.02,76.95,18.28,4034496
Moosomin,59.31,98,CA,1567542300,62,50.14,-101.67,59.31,8.68,6078359
Sao Filipe,80.91,100,CV,1567542300,86,14.9,-24.5,80.91,5.79,3374210
Nicolas Bravo,71.82,75,MX,1567542300,43,24.39,-104.74,72.0,4.7,4015683
Ola,50.31,0,RU,1567542301,88,59.58,151.3,50.31,2.86,2122574
Udachnyy,39.2,90,RU,1567542301,86,66.42,112.4,39.2,2.24,2014624
Sur,83.97,93,OM,1567542301,53,22.57,59.53,83.97,9.08,286245
Yar-Sale,48.51,100,RU,1567542302,89,66.83,70.83,48.51,6.58,1486321
Hofn,33.21,24,IS,1567542302,80,64.25,-15.21,33.21,11.77,2630299
LUGOBA,71.55,24,TZ,1567542302,77,-6.46,38.33,71.55,5.21,155743
Najran,87.8,40,SA,1567542303,18,17.54,44.22,87.8,4.7,103630
Fortuna,71.76,20,US,1567542272,68,40.6,-124.16,82.99,13.87,5563839
Verkhnyaya Inta,44.73,8,RU,1567542303,88,65.99,60.32,44.73,7.36,1487332
Ilulissat,46.4,20,GL,1567542303,52,69.22,-51.1,46.4,4.7,3423146
Lander,72.88,20,US,1567542304,37,42.83,-108.73,78.01,7.09,5830007
Adiake,77.0,40,CI,1567542304,88,5.29,-3.3,77.0,4.7,2293428
Pihani,85.05,86,IN,1567542304,70,27.62,80.2,85.05,5.97,1259701
Liverpool,61.86,75,GB,1567542135,88,53.41,-2.98,64.4,16.11,2644210
Diu,78.75,100,IN,1567542305,91,20.71,70.98,78.75,9.19,1272502
Namatanai,78.57,90,PG,1567542305,86,-3.66,152.44,78.57,11.74,2090021
Bastia,71.35,0,IT,1567542305,44,44.6,8.98,80.6,6.93,3176217
Carballo,68.94,0,ES,1567542306,68,43.21,-8.69,72.0,4.7,3126369
Venado Tuerto,57.99,0,AR,1567542306,15,-33.75,-61.97,57.99,5.99,3833062
Mamallapuram,82.4,40,IN,1567542306,88,12.63,80.17,82.4,5.82,1263997
Kruisfontein,51.57,1,ZA,1567542307,92,-34.0,24.73,51.57,8.01,986717
Grinnell,80.44,1,US,1567542307,65,41.74,-92.72,86.0,19.46,4859343
Cuamba,66.33,0,MZ,1567542307,76,-14.8,36.54,66.33,9.06,1047660
Bilibino,38.61,0,RU,1567542308,57,68.06,166.44,38.61,1.88,2126682
Kardla,54.64,0,EE,1567542308,93,58.44,26.57,55.4,5.82,588335
Bambous Virieux,72.41,75,MU,1567542308,73,-20.34,57.76,73.0,6.93,1106677
Ulladulla,46.65,0,AU,1567542308,87,-35.36,150.48,46.99,4.7,2145554
Cidreira,53.73,76,BR,1567542309,64,-30.17,-50.22,53.73,7.74,3466165
New Norfolk,47.14,0,AU,1567542309,57,-42.78,147.06,50.0,8.05,2155415
Ozinki,52.83,0,RU,1567542310,79,51.2,49.73,52.83,7.43,513328
Port Augusta,55.26,40,AU,1567542310,66,-32.49,137.76,55.4,4.7,2063056
Tabas,91.4,0,IR,1567542021,14,33.6,56.92,91.4,4.7,113659
Revelstoke,75.2,1,CA,1567542310,47,50.99,-118.19,75.2,4.7,6121621
Lewistown,85.68,1,US,1567542311,66,40.39,-90.15,88.0,10.29,4899665
Quatre Cocos,72.37,75,MU,1567542311,73,-20.21,57.76,73.0,6.93,1106643
Tazovskiy,42.93,100,RU,1567542312,99,67.47,78.7,42.93,5.5,1489853
Anahuac,90.05,42,MX,1567542312,70,26.44,-109.02,93.0,5.99,4017764
Chokurdakh,40.59,0,RU,1567542312,75,70.62,147.9,40.59,9.28,2126123
Touros,80.6,40,BR,1567542313,74,-5.2,-35.46,80.6,13.87,3386213
Souillac,67.48,0,FR,1567542313,37,45.6,-0.6,71.6,6.93,3026644
